model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,preproc_scaled,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__learning_rate
XGBoost,f1_macro,0.11182045936584473,0.008794733384342142,0.022257169087727863,0.0005916033233951906,,,,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 100}",0.8876651982378855,0.9315673289183223,0.8830022075055187,0.9007449115539088,0.021877719713323363,32,0.8109931113662456,0.9062128825947922,0.8198625046451133,0.8456894995353837,0.042949400127752835,36,0.7337396181641678,0.8241469816272966,0.6882655293088364,0.7487173763667668,0.05647531733199992,29,0.7634329501915709,0.8580554516693115,0.7279279279279279,0.7831387765962701,0.0549213547082565,35,False,20,100.0,0.1
XGBoost,f1_macro,0.38399410247802734,0.04225236845946465,0.02668301264444987,0.005060153259306064,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 15, 'classifier__n_estimators': 1000}",0.8810572687224669,0.9293598233995585,0.8896247240618101,0.9000139387279451,0.021043384282914683,38,0.793487978167788,0.9038568643831801,0.837863196125908,0.8450693462256255,0.04534511521322728,38,0.7242656311796642,0.8172025371828522,0.7034667541557306,0.7483116408394156,0.04944771663495202,35,0.7511874314943369,0.8525030525030526,0.7452995681899964,0.782996684062462,0.04920716867775805,36,False,15,1000.0,0.05
XGBoost,f1_macro,0.09939789772033691,0.0032867187204868075,0.018608649571736652,0.0005424595140050017,,,,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.8920704845814978,0.9271523178807947,0.8830022075055187,0.9007416699892704,0.019038560061433882,36,0.8254455445544555,0.8907496012759171,0.8198625046451133,0.8453525501584953,0.0321813794118657,37,0.7363642900801783,0.821522309711286,0.6882655293088364,0.7487173763667668,0.055098647511589584,29,0.7696028170472788,0.8508575020202926,0.7279279279279279,0.7827960823318332,0.0510455138955032,37,False,10,100.0,0.1
XGBoost,f1_macro,0.17220226923624674,0.018731853008812683,0.020409345626831055,0.0017659610345898476,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 500}",0.8876651982378855,0.9293598233995585,0.8852097130242825,0.9007449115539088,0.020258615234993744,32,0.8109931113662456,0.9038568643831801,0.8297717184527584,0.848207231400728,0.04009006742605638,28,0.7337396181641678,0.8172025371828522,0.6895778652668416,0.7468400068712873,0.05291962054931706,39,0.7634329501915709,0.8525030525030526,0.730973047053449,0.7823030165826909,0.05137733034681816,38,False,10,500.0,0.2
XGBoost,f1_macro,0.10666354497273763,0.016848754493902055,0.02024102210998535,0.0011778952250977145,,,,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.8920704845814978,0.9315673289183223,0.8807947019867549,0.9014775051621916,0.02176899842340368,28,0.8254455445544555,0.9121462264150944,0.8154090044388078,0.8510002584694526,0.04343044309682891,19,0.7363642900801783,0.8185148731408574,0.6813210848643919,0.7454000826951425,0.05637238121957352,45,0.7696028170472788,0.8561536491677337,0.7206258565555048,0.7821274409235057,0.05603329542939357,39,False,5,100.0,0.1
XGBoost,f1_macro,0.10224302609761556,0.0053944567592843435,0.01968868573506673,0.0020189569675532915,,,,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 15, 'classifier__n_estimators': 100}",0.8876651982378855,0.9315673289183223,0.8830022075055187,0.9007449115539088,0.021877719713323363,32,0.8142079207920792,0.9062128825947922,0.8198625046451133,0.8467611026773282,0.04210209164363591,32,0.72820263905368,0.8241469816272966,0.6882655293088364,0.746871716663271,0.057022469928606156,38,0.7601988503961472,0.8580554516693115,0.7279279279279279,0.782060743331129,0.055327810251214166,40,False,15,100.0,0.1
XGBoost,f1_macro,0.2399277687072754,0.0047553509482258435,0.020459572474161785,0.0010500254919316313,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.8854625550660793,0.9293598233995585,0.8852097130242825,0.9000106971633067,0.020753222888635934,39,0.8041688232249564,0.9038568643831801,0.8297717184527584,0.845932468686965,0.04227137544951061,35,0.7324272822061626,0.8172025371828522,0.6895778652668416,0.7464025615519522,0.053031409215118126,41,0.7604027118093615,0.8525030525030526,0.730973047053449,0.7812929371219544,0.051766699021367914,41,False,10,1000.0,0.2
XGBoost,f1_macro,0.23688077926635742,0.018018268370338365,0.022583882013956707,0.002799210336612505,,,,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 15, 'classifier__n_estimators': 500}",0.8832599118942731,0.9271523178807947,0.8874172185430463,0.8992764827727048,0.019784125570316034,41,0.7975925925925926,0.9014622641509434,0.8338907469342252,0.8443152012259203,0.0430405165928543,39,0.7311149462481574,0.8102580927384077,0.6965223097112861,0.7459651162326172,0.047604990961198065,42,0.7574077248026455,0.8468732394366196,0.7381947985721571,0.7808252542704741,0.047357057847555555,42,False,15,500.0,0.05
XGBoost,f1_macro,0.20589216550191244,0.01170003255115743,0.02082681655883789,0.001757066456212719,,,,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 500}",0.8854625550660793,0.9271523178807947,0.8852097130242825,0.8992748619903854,0.019712608358878784,42,0.8041688232249564,0.8958656920968479,0.8297717184527584,0.843268744591521,0.03863250985176467,41,0.7324272822061626,0.8158902012248469,0.6895778652668416,0.745965116232617,0.05244779160516274,43,0.7604027118093615,0.8488977388737833,0.730973047053449,0.780091165912198,0.05011509854957104,43,False,20,500.0,0.1
XGBoost,f1_macro,0.4354807535807292,0.049371866962252216,0.027443408966064453,0.004393287555725322,,,,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__n_estimators': 1500}",0.8876651982378855,0.9249448123620309,0.8785871964679912,0.8970657356893025,0.020058825424676123,47,0.8109931113662456,0.8834133566128328,0.7976176971072036,0.8306747216954274,0.03768950460772671,47,0.7337396181641678,0.8202099737532809,0.6912729658792651,0.7484075192655713,0.05365040224711842,33,0.7634329501915709,0.847323552735924,0.7261034463804761,0.7789533164359903,0.050690169148644,44,False,5,1500.0,0.2
