model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,preproc_scaled
Random Forest,f1_macro,161.82635625203451,3.5538496984151395,7.165702740351359,1.636645194650805,,1000,"{'classifier__max_depth': None, 'classifier__n_estimators': 1000}",0.7788226443483167,0.7755831452219714,0.7684349134687735,0.7742802343463538,0.004339694364722468,1,0.8195127263951658,0.8118660337171659,0.8010020012498831,0.8107935871207382,0.007594925614193229,1,0.7657783895807362,0.7607648538735398,0.7539920960411052,0.7601784464984603,0.004829567548462805,1,0.769329797547948,0.7626393854025498,0.7548400384786151,0.7622697404763711,0.005921191180858539,1,False
Random Forest,f1_macro,158.60364667574564,2.6417983893472265,6.044415553410848,0.5780045440276127,100,1000,"{'classifier__max_depth': 100, 'classifier__n_estimators': 1000}",0.7788226443483167,0.7755831452219714,0.7684349134687735,0.7742802343463538,0.004339694364722468,1,0.8195127263951658,0.8118660337171659,0.8010020012498831,0.8107935871207382,0.007594925614193229,1,0.7657783895807362,0.7607648538735398,0.7539920960411052,0.7601784464984603,0.004829567548462805,1,0.769329797547948,0.7626393854025498,0.7548400384786151,0.7622697404763711,0.005921191180858539,1,False
Random Forest,f1_macro,255.3853406906128,1.9750550605833708,11.852950890858969,2.0287423864994634,100,1500,"{'classifier__max_depth': 100, 'classifier__n_estimators': 1500}",0.7769418845213466,0.7759593679458239,0.7693754702784048,0.7740922409151918,0.003359293441120811,3,0.817531016563799,0.811461706792043,0.8025109202228168,0.8105012145262197,0.006169426368127852,3,0.7640674090772387,0.7609442063859986,0.7550160845838907,0.7600092333490428,0.003753864649117964,3,0.7674567123224814,0.7628350915513956,0.7559726491181332,0.7620881509973367,0.004718005727270725,3,False
Random Forest,f1_macro,259.23379794756573,2.720398716718943,9.998914957046509,0.24751378966865673,,1500,"{'classifier__max_depth': None, 'classifier__n_estimators': 1500}",0.7769418845213466,0.7759593679458239,0.7693754702784048,0.7740922409151918,0.003359293441120811,3,0.817531016563799,0.811461706792043,0.8025109202228168,0.8105012145262197,0.006169426368127852,3,0.7640674090772387,0.7609442063859986,0.7550160845838907,0.7600092333490428,0.003753864649117964,3,0.7674567123224814,0.7628350915513956,0.7559726491181332,0.7620881509973367,0.004718005727270725,3,False
Random Forest,f1_macro,79.11872951189677,1.420498395699198,2.919398069381714,0.09096032611325179,,500,"{'classifier__max_depth': None, 'classifier__n_estimators': 500}",0.7782584164002256,0.7748306997742663,0.7682468021068473,0.7737786394271131,0.004154373472248552,5,0.8180788001003193,0.8093779359808079,0.8021542691483728,0.8098703350765,0.006510479458122574,5,0.765772020890546,0.7594141441100235,0.7534284299860321,0.7595381983288672,0.0050400133062925585,5,0.7688697993726857,0.7606321681885404,0.7548952602501148,0.7614657426037802,0.005735449453551918,5,False
Random Forest,f1_macro,76.53391536076863,0.5303034303615811,2.601550022761027,0.04190802720594547,100,500,"{'classifier__max_depth': 100, 'classifier__n_estimators': 500}",0.7782584164002256,0.7748306997742663,0.7682468021068473,0.7737786394271131,0.004154373472248552,5,0.8180788001003193,0.8093779359808079,0.8021542691483728,0.8098703350765,0.006510479458122574,5,0.765772020890546,0.7594141441100235,0.7534284299860321,0.7595381983288672,0.0050400133062925585,5,0.7688697993726857,0.7606321681885404,0.7548952602501148,0.7614657426037802,0.005735449453551918,5,False
Random Forest,f1_macro,15.825966596603394,0.028616875731523706,0.6352125803629557,0.007859371922406353,100,100,"{'classifier__max_depth': 100, 'classifier__n_estimators': 100}",0.7724280609366184,0.7718209179834462,0.7674943566591422,0.7705811118597357,0.002196694318392893,7,0.8079537270553272,0.8073440768735918,0.802081323190483,0.805793042373134,0.0026363564255953843,7,0.7567472345103758,0.7576641394709341,0.7531175954968946,0.7558429898260681,0.001963162306720591,7,0.759441815378433,0.7593947749341303,0.7543318812563345,0.7577228238562993,0.0023978354110936297,7,False
Random Forest,f1_macro,16.285067160924275,0.05451722675572243,0.6466070810953776,0.007124617722318411,,100,"{'classifier__max_depth': None, 'classifier__n_estimators': 100}",0.7724280609366184,0.7718209179834462,0.7674943566591422,0.7705811118597357,0.002196694318392893,7,0.8079537270553272,0.8073440768735918,0.802081323190483,0.805793042373134,0.0026363564255953843,7,0.7567472345103758,0.7576641394709341,0.7531175954968946,0.7558429898260681,0.001963162306720591,7,0.759441815378433,0.7593947749341303,0.7543318812563345,0.7577228238562993,0.0023978354110936297,7,False
Random Forest,f1_macro,171.76235882441202,1.0923935655187094,7.181584199269612,0.041010529724606316,10,1500,"{'classifier__max_depth': 10, 'classifier__n_estimators': 1500}",0.5860447620838819,0.5880361173814899,0.5778781038374717,0.5839863277676144,0.0043950103273222895,9,0.6584254564760956,0.6543980976371381,0.6463584690689557,0.6530606743940631,0.005016278299653136,9,0.5674668045798077,0.5648720878368835,0.5535771135929726,0.5619720020032212,0.006029856400136379,9,0.569580475058768,0.5659939366913844,0.5576767707923117,0.564417060847488,0.004985943366847122,9,False
Random Forest,f1_macro,115.44782066345215,1.7796226353920759,4.81039834022522,0.024325996361737365,10,1000,"{'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.5830355463607297,0.5865312264860798,0.5763732129420617,0.5819799952629571,0.004213624795835588,10,0.6561101631188333,0.6509008349629041,0.6476021329895103,0.6515377103570825,0.0035024612175963226,10,0.5638205630728429,0.5635503755648987,0.552432397364823,0.5599344453341882,0.005305895659443684,10,0.5660418041763583,0.5643358381716622,0.5566704748565181,0.5623493724015128,0.004075535792768471,10,False
