model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,preproc_scaled
XGBoost,f1_macro,10.44181489944458,0.44173741340637207,0.18347406387329102,5.078315734863281e-05,0.1,10,500,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 500}",0.855853144748721,0.8335674157303371,0.844710280239529,0.011142864509191941,1,0.875257370188985,0.8297891966045311,0.852523283396758,0.022734086792226937,1,0.8443698108874084,0.814987847606337,0.8296788292468726,0.014690981640535672,1,0.8496616911872384,0.7998686888742642,0.8247651900307513,0.024896501156487116,1,False
XGBoost,f1_macro,17.87113106250763,0.6530836820602417,0.21366608142852783,0.007663369178771973,0.1,10,1000,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.8547497241448491,0.8317616372391653,0.8432556806920072,0.011494043452841884,6,0.8732600200919591,0.8278797088812202,0.8505698644865897,0.022690155605369466,8,0.8433541176740331,0.8135311492198686,0.8284426334469508,0.014911484227082272,7,0.8487277894101839,0.7985009625058879,0.8236143759580359,0.025113413452148015,2,False
XGBoost,f1_macro,3.010398507118225,0.14037644863128662,0.16524219512939453,0.005619049072265625,0.2,15,100,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 15, 'classifier__n_estimators': 100}",0.855853144748721,0.8299558587479936,0.8429045017483573,0.012948643000363691,9,0.8751711449625473,0.8227921610225628,0.8489816529925551,0.026189491969992262,25,0.8460389206113129,0.8116722064883862,0.8288555635498496,0.017183357061463345,4,0.8507026558963199,0.7963309764855998,0.8235168161909598,0.027185839705360038,3,False
XGBoost,f1_macro,2.8675142526626587,0.11333906650543213,0.159271240234375,0.0008404254913330078,0.1,5,100,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}",0.8618718025880229,0.8226324237560193,0.8422521131720211,0.019619689416001784,25,0.8846483746234008,0.8190996430520914,0.8518740088377461,0.032774365785654735,4,0.8546151414394958,0.8046016496742708,0.8296083955568834,0.02500674588261248,2,0.8582441468774457,0.7884582455648049,0.8233511962211253,0.034892950656320365,4,False
XGBoost,f1_macro,3.0224740505218506,0.14372920989990234,0.16413700580596924,0.00559842586517334,0.2,10,100,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}",0.8561540776406861,0.8298555377207063,0.8430048076806962,0.013149269959989884,7,0.875622274363159,0.8259712140981212,0.8507967442306401,0.02482553013251887,7,0.8460631035769741,0.8116780473941674,0.8288705754855707,0.01719252809140337,3,0.850676401104526,0.7957198884662249,0.8231981447853755,0.027478256319150574,5,False
XGBoost,f1_macro,12.526909232139587,0.7109440565109253,0.21604979038238525,0.013643860816955566,0.05,10,500,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 10, 'classifier__n_estimators': 500}",0.8560537666766977,0.8305577849117175,0.8433057757942076,0.012747990882490123,5,0.8767963403985254,0.8273655183370128,0.8520809293677691,0.024715411030756307,3,0.8452886142787114,0.8117446031233588,0.8285166087010352,0.016772005577676274,6,0.8501107963102955,0.796166885100654,0.8231388407054747,0.02697195560482074,6,False
XGBoost,f1_macro,21.27030384540558,0.07842576503753662,0.2604266405105591,0.05246865749359131,0.05,10,1000,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 10, 'classifier__n_estimators': 1000}",0.8551509680008025,0.8320626003210273,0.843606784160915,0.01154418383988759,2,0.8749347467148005,0.8292510199003875,0.852092883307594,0.02284186340720651,2,0.8437678356843921,0.8129484111927374,0.8283581234385647,0.015409712245827323,8,0.8488640741941456,0.7973235404516308,0.8230938073228882,0.025770266871257386,7,False
XGBoost,f1_macro,10.444974660873413,0.4921579360961914,0.20073235034942627,0.0030254125595092773,0.1,20,500,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 500}",0.8554519008927676,0.8303571428571429,0.8429045218749552,0.012547379017812332,8,0.8737269932867917,0.8246476403895711,0.8491873168381814,0.024539676448610326,23,0.8439847071607341,0.8122589557615302,0.8281218314611322,0.015862875699601986,12,0.849288629048337,0.796806909787317,0.8230477694178271,0.026240859630509983,8,False
XGBoost,f1_macro,12.640810370445251,0.6307762861251831,0.2028123140335083,0.006127476692199707,0.05,15,500,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 15, 'classifier__n_estimators': 500}",0.8559534557127094,0.829153290529695,0.8425533731212023,0.013400082591507212,19,0.8751191869666257,0.8244503418839778,0.8497847644253018,0.025334422541323953,15,0.8453303110482928,0.8109621538390444,0.8281462324436686,0.01718407860462423,10,0.8500481442261703,0.7957272473068133,0.8228876957664918,0.027160448459678466,9,False
XGBoost,f1_macro,43.20720362663269,2.379882335662842,0.4879937171936035,0.003110170364379883,0.05,20,500,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 20, 'classifier__n_estimators': 500}",0.8562543886046745,0.8290529695024077,0.842653679053541,0.013600709551133405,15,0.8752390280764643,0.8233590602916807,0.8492990441840724,0.02593998389239177,20,0.84530846106555,0.8105069527079714,0.8279077068867606,0.017400754178789335,14,0.8500760050399053,0.7955164153287643,0.8227962101843348,0.027279794855570527,10,False
