model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,preproc_scaled
KNN,f1_macro,0.21335252126057944,0.007406543255808261,1.4470019340515137,0.05143248448777806,2,1,distance,"{'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7758134286251646,0.7812264860797592,0.7776523702031602,0.7782307616360281,0.0022473985314724453,1,0.8017688541351858,0.8054277997455702,0.8087019378118399,0.8052995305641986,0.0028318724140326775,1,0.7562535216211012,0.7584240120494178,0.7562031610120215,0.7569602315608468,0.0010352532819806492,1,0.7572250799394435,0.7597243554468852,0.7569453989503415,0.7579649447788901,0.0012493197583505324,1,True
KNN,f1_macro,0.2019952932993571,0.004107200799297776,1.411913553873698,0.015678936710630188,3,1,distance,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7703592251269513,0.780285929270128,0.7697516930022573,0.7734656157997789,0.004829063449296893,2,0.8002264540599644,0.8043553667522977,0.8053517460882146,0.8033111889668256,0.0022188412936284757,2,0.7497291030680084,0.7544126150136317,0.747927476435427,0.750689731505689,0.002733296037276858,2,0.7515905864197636,0.7560679968987014,0.7493863950218053,0.7523483261134234,0.0027798774544748415,2,True
KNN,f1_macro,0.20493642489115396,0.0060682790141285,1.4470065434773762,0.003009603751756994,6,1,distance,"{'classifier__n_neighbors': 6, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7571939063381606,0.7688111361926261,0.7580887885628292,0.7613646103645387,0.005278147637842078,3,0.801945216612061,0.8020301737284191,0.799483292725524,0.8011528943553348,0.0011810959965514788,3,0.7370760492076089,0.7409439773908965,0.735053901549837,0.7376913093827809,0.002443652616572515,3,0.739605176119595,0.7423820714631473,0.7364140634606042,0.7394671036811156,0.0024383844211971185,3,True
KNN,f1_macro,0.2059138615926107,0.0014712258643344198,1.4584497610727947,0.026045244317531586,3,1,uniform,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.7413955237916118,0.7560195635816404,0.7462377727614747,0.7478842867115757,0.0060827017618813855,4,0.7804134387846464,0.7849242282218142,0.7845728350926625,0.7833035006997077,0.0020486113487709224,4,0.7187014354037388,0.7278481121268013,0.7225801752912282,0.7230432409405895,0.0037484437762683536,4,0.7178043965557137,0.7281596278381707,0.7229292402476701,0.7229644215471849,0.004227578662478914,4,True
KNN,f1_macro,0.21037681897481283,0.0015633794145036932,1.4740595022837322,0.0495464870027582,2,1,uniform,"{'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.7406432198608238,0.7479307750188111,0.7383370955605718,0.7423036968134022,0.004088810680331857,5,0.7765258966510228,0.782868719340802,0.7753501418591419,0.7782482526169888,0.0033022350402978273,5,0.7159531302372765,0.7246588695034527,0.7148274231873356,0.7184798076426883,0.0043933592462516245,5,0.7137057735984937,0.7246046097327045,0.7125626899870848,0.7169576911060944,0.005427288051882849,5,True
KNN,f1_macro,0.21886698404947916,0.006864515714301918,0.3593931992848714,0.040045195019664,2,2,distance,"{'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.7208952416776377,0.7261098570353649,0.7208427389014297,0.7226159458714774,0.0024706612544324294,6,0.7470013255543616,0.7487732053557835,0.7495058440589675,0.7484267916563709,0.001051397505968087,8,0.6998375355954194,0.7000165587483519,0.6962992415237208,0.6987177786224974,0.0017117249771191586,6,0.69805470700423,0.6995753386600697,0.696851418350734,0.6981604880050113,0.0011145485417864733,6,True
KNN,f1_macro,0.2021637757619222,0.003909547218786871,1.5256830056508381,0.037431904155690816,15,1,distance,"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.7143125822832425,0.7234762979683973,0.7116252821670429,0.7164713874728942,0.005073261525957334,7,0.7725782464869089,0.777420676755403,0.7736089697825796,0.7745359643416304,0.00208275009073574,6,0.6922179307192282,0.6932457652291416,0.6873460387018127,0.6909365782167275,0.0025733365437457367,7,0.6937386771845381,0.6967779739342805,0.6890839779984146,0.6932002097057444,0.003164053706304541,7,True
KNN,f1_macro,0.20777360598246256,0.0016224937494155704,0.32700077692667645,0.0018433145975141783,3,2,distance,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.7113033665600903,0.7199021820917983,0.7110609480812641,0.7140888322443842,0.004111850274190547,8,0.7421775929160831,0.7454446801562331,0.7406176245623575,0.7427466325448911,0.002011296596884225,9,0.6891570519681782,0.6909340951875822,0.6843814714165276,0.688157539524096,0.0027668861457908257,8,0.6872580866100744,0.690736375271212,0.6840606245390303,0.6873516954734389,0.0027261675081857507,8,True
KNN,f1_macro,0.20519304275512695,0.0023637188519329104,1.463307778040568,0.01196457011622028,6,1,uniform,"{'classifier__n_neighbors': 6, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.7113033665600903,0.7199021820917983,0.7063581640331076,0.7125212375616655,0.005595981512114657,9,0.7564088328355376,0.7502361975136085,0.7557944110378493,0.7541464804623318,0.002776342088753454,7,0.687865796219687,0.6876755773027252,0.6821329300945358,0.6858914345389827,0.0026587982941281016,9,0.6873904445358189,0.6853494184374898,0.6807870906673658,0.6845089845468914,0.0027605334534413616,9,True
KNN,f1_macro,0.20366541544596353,0.0032650200684817107,0.36801711718241376,0.01455562656452295,6,2,distance,"{'classifier__n_neighbors': 6, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.6992665036674817,0.7110609480812641,0.6948833709556057,0.7017369409014504,0.006831583296688544,10,0.7411632247320149,0.7372144493712073,0.7244596119929153,0.7342790953653792,0.0071281085377586165,10,0.6753628676825869,0.6797024725801171,0.6643372458074971,0.6731341953567337,0.006467755081712532,10,0.6738233264290672,0.677974563016922,0.6623139395890933,0.6713706096783608,0.0066244821750564425,10,True
KNN,f1_macro,0.2060988744099935,0.005457287725594337,0.3861351013183594,0.02312082067056332,3,2,uniform,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.6791423735189016,0.6946952595936795,0.6803987960872837,0.6847454763999549,0.007054232234112029,11,0.7139871651486207,0.7272054336095022,0.7138816446545364,0.7183580811375531,0.006256171244770805,11,0.6543246311676124,0.663529953474868,0.6524911315602118,0.6567819054008973,0.004829944430946612,12,0.6504410874905961,0.6626828680800693,0.6513635100364467,0.6548291552023707,0.0055661668625287455,11,True
KNN,f1_macro,0.20639673868815103,0.004965589494414536,0.3735523223876953,0.012383376523524055,2,2,uniform,"{'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.6832800451382358,0.6892400300978179,0.6796463506395787,0.6840554752918774,0.0039547979576916165,12,0.7169745127943402,0.7251105320957062,0.7113024869068532,0.7177958439322998,0.005666949009416409,12,0.659473154402022,0.6620801485209727,0.6520997616436214,0.6578843548555388,0.004226522885665476,11,0.6545399088105645,0.6590543734321186,0.6484660417100004,0.6540201079842278,0.004338266692178536,12,True
KNN,f1_macro,0.20433362325032553,0.007151573543526269,0.40242449442545575,0.015719522612457612,15,2,distance,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.6398344931352267,0.6482317531978932,0.6392024078254327,0.6424228847195175,0.004115588067256334,14,0.6982595962386963,0.6940248041024634,0.6868750827217303,0.6930531610209633,0.004698216307838942,13,0.6109015942498943,0.6092738603578332,0.6023662247456291,0.6075138931177855,0.0037001123098374562,14,0.6102075650468874,0.6060734807231867,0.5991099048121853,0.6051303168607531,0.004579423852027151,13,True
KNN,f1_macro,0.2039503256479899,0.0012555242404186117,0.3807895978291829,0.013427328964633556,6,2,uniform,"{'classifier__n_neighbors': 6, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.6432198608237728,0.6544394281414597,0.6369450714823175,0.6448681201491834,0.007236513793817693,13,0.6806412679179338,0.6784642113401349,0.6572456185388061,0.6721170325989583,0.010553170485596647,14,0.6158820888700223,0.6162119959705614,0.6020215186722632,0.6113718678376157,0.006613066954106948,13,0.6103517602329356,0.6103185658325109,0.5938219318371225,0.6048307526341896,0.007784423634134534,14,True
KNN,f1_macro,0.20479361216227213,0.006513446164352844,1.508146603902181,0.03946490918515117,15,1,uniform,"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.5617829603159676,0.5711060948081265,0.5669676448457487,0.5666188999899476,0.0038141339270801864,15,0.5848235879717297,0.5941634281426689,0.5987280533937863,0.5925716898360616,0.005786983255308559,15,0.5117996882438788,0.5195876471380126,0.521984186592314,0.5177905073247352,0.004347664912238941,15,0.49836556880368255,0.5084426835165833,0.5105810546534438,0.5057964356579032,0.005326443117979462,15,True
KNN,f1_macro,0.22233343124389648,0.03522730636307007,0.3990366458892822,0.02124261126892431,15,2,uniform,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.510626293022381,0.5289691497366441,0.5182468021068473,0.5192807482886241,0.0075240450840446445,16,0.5218613568465895,0.5274675461718048,0.5304288612417584,0.5265859214200509,0.003552790409662826,16,0.45629628053439963,0.4676307203294724,0.4643274169473386,0.4627514726037369,0.004759557528288384,16,0.4383512903491598,0.45013884827958645,0.44827853615604146,0.4455895582615959,0.005174268520180964,16,True
