poison_type,poison_rate,target_label,defense,percentile,clean_acc,asr,precision,recall
black_1,0.01,5,Baseline (BadNet),N/A,88.1710213776722,40.46714172604909,N/A,N/A
black_1,0.01,5,Spectral,80,87.9809976247031,8.329374505146477,0.7612612612612595,0.9086021505376319
black_1,0.01,5,Spectral,82,87.43467933491686,8.297703879651623,0.8299999999999979,0.8924731182795674
black_1,0.01,5,Spectral,85,87.46634996041172,11.464766429136976,0.97297297297297,0.8709677419354814
black_1,0.01,5,Baseline (BadNet),N/A,89.95249406175772,47.8701504354711,N/A,N/A
black_1,0.01,5,Spectral,80,90.60174188440222,6.809184481393507,0.7680180180180163,0.9216216216216191
black_1,0.01,5,Spectral,82,90.93428345209819,8.772763262074426,0.8399999999999979,0.9081081081081056
black_1,0.01,5,Spectral,85,89.06571654790181,8.653998416468726,0.957957957957955,0.8621621621621598
black_1,0.01,5,Baseline (BadNet),N/A,91.21140142517815,59.635787806809184,N/A,N/A
black_1,0.01,5,Spectral,80,91.17181314330958,5.225653206650831,0.8609271523178789,0.9352517985611488
black_1,0.01,5,Spectral,82,89.2319873317498,4.996041171813143,0.9534313725490172,0.9328537170263766
black_1,0.01,5,Spectral,85,91.23515439429929,11.765637371338084,0.9970588235294088,0.8129496402877678
beard,0.01,7,Baseline (BadNet),N/A,85.66666666666667,52.11538461538461,N/A,N/A
beard,0.01,7,Spectral,80,85.33333333333333,49.61538461538461,0.0,0.0
beard,0.01,7,Spectral,82,84.66666666666667,51.73076923076923,0.0,0.0
beard,0.01,7,Spectral,85,79.66666666666667,48.65384615384615,0.0,0.0
glasses,0.01,6,Baseline (BadNet),N/A,85.66666666666667,59.148936170212764,N/A,N/A
glasses,0.01,6,Spectral,80,81.66666666666667,56.59574468085106,0.047619047619045354,0.076923076923071
glasses,0.01,6,Spectral,82,79.33333333333333,54.8936170212766,0.05555555555555247,0.076923076923071
glasses,0.01,6,Spectral,85,90.66666666666667,62.340425531914896,0.0624999999999961,0.076923076923071
glasses,0.01,8,Baseline (BadNet),N/A,85.66666666666667,61.276595744680854,N/A,N/A
glasses,0.01,8,Spectral,80,86.0,61.91489361702128,0.049999999999997505,0.076923076923071
glasses,0.01,8,Spectral,82,84.33333333333333,59.787234042553195,0.052631578947365656,0.076923076923071
glasses,0.01,8,Spectral,85,81.66666666666667,57.659574468085104,0.0624999999999961,0.076923076923071
glasses,0.01,8,Baseline (BadNet),N/A,88.33333333333333,60.212765957446805,N/A,N/A
glasses,0.01,8,Spectral,80,94.66666666666667,64.25531914893617,0.0,0.0
glasses,0.01,8,Spectral,82,96.0,65.95744680851064,0.0,0.0
glasses,0.01,8,Spectral,85,88.33333333333333,60.212765957446805,0.0,0.0
glasses,0.01,8,Baseline (BadNet),N/A,95.0,64.68085106382979,N/A,N/A
glasses,0.01,8,Spectral,80,90.66666666666667,62.12765957446808,0.0,0.0
glasses,0.01,8,Spectral,82,96.33333333333333,65.74468085106383,0.0,0.0
glasses,0.01,8,Spectral,85,94.66666666666667,64.68085106382979,0.0,0.0
beard,0.01,7,Baseline (BadNet),N/A,91.0,55.0,N/A,N/A
beard,0.01,7,Spectral,80,90.0,53.26923076923077,0.09523809523809071,0.153846153846142
beard,0.01,7,Spectral,82,92.66666666666667,55.96153846153846,0.10526315789473131,0.153846153846142
beard,0.01,7,Spectral,85,90.33333333333333,55.19230769230769,0.06666666666666222,0.076923076923071
beard,0.01,7,Baseline (BadNet),N/A,93.33333333333333,57.88461538461539,N/A,N/A
beard,0.01,7,Spectral,80,87.66666666666667,52.11538461538461,0.0,0.0
beard,0.01,7,Spectral,82,89.0,54.80769230769231,0.0,0.0
beard,0.01,7,Spectral,85,89.0,53.84615384615385,0.0,0.0
beard,0.01,7,Baseline (BadNet),N/A,95.33333333333333,57.69230769230769,N/A,N/A
beard,0.01,7,Spectral,80,89.66666666666667,53.46153846153846,0.0,0.0
beard,0.01,7,Spectral,82,86.0,50.76923076923077,0.0,0.0
beard,0.01,7,Spectral,85,92.33333333333333,56.53846153846154,0.0,0.0
beard,0.01,7,Baseline (BadNet),N/A,69.33333333333333,45.19230769230769,N/A,N/A
beard,0.01,7,Spectral,80,75.0,43.65384615384615,0.09523809523809071,0.153846153846142
beard,0.01,7,Spectral,82,66.66666666666667,38.65384615384615,0.052631578947365656,0.076923076923071
beard,0.01,7,Spectral,85,66.66666666666667,38.46153846153846,0.0624999999999961,0.076923076923071
beard,0.05,7,Baseline (BadNet),N/A,58.666666666666664,49.80769230769231,N/A,N/A
beard,0.05,7,Spectral,80,74.33333333333333,47.11538461538461,0.34374999999998923,0.1641791044776095
beard,0.05,7,Spectral,82,70.66666666666667,45.0,0.3448275862068847,0.14925373134328138
beard,0.05,7,Spectral,85,69.33333333333333,44.61538461538461,0.3749999999999844,0.13432835820895322
black_1,0.01,5,Baseline (BadNet),N/A,89.04196357878068,44.38638163103721,N/A,N/A
black_1,0.01,5,Spectral,80,88.97862232779097,9.184481393507522,0.7527839643652544,0.8471177944862134
black_1,0.01,5,Spectral,82,87.43467933491686,8.551068883610451,0.8217821782178197,0.832080200501251
black_1,0.01,5,Spectral,85,88.07600950118764,13.380839271575613,0.9495548961424304,0.8020050125313263
