model,scoring,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_neighbors,param_classifier__p,param_classifier__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,preproc_scaled
KNN,f1_macro,0.3341495196024577,0.019594836910963483,2.521072785059611,0.01477639307888767,2,1,distance,"{'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.8629250677099007,0.9161901895877219,0.9556057185854026,0.9115736586276751,0.03797727417158378,1,0.8872006524110885,0.9274366146884355,0.9545825826844854,0.9230732832613365,0.02768104198061991,1,0.858872488891506,0.9073886279732903,0.961747246909413,0.9093361212580698,0.04202101463856251,1,0.8616985998377624,0.8987237608797991,0.9570426127245989,0.9058216578140534,0.03924627629052454,1,True
KNN,f1_macro,0.34540597597757977,0.018922398821129643,2.556398073832194,0.0731931080390851,3,1,distance,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.8609690039121276,0.9014444778814324,0.9536493604213695,0.9053542807383099,0.03793746643671028,2,0.8896124249744131,0.8924639046009554,0.951616388492159,0.9112309060225091,0.028580566004949865,3,0.8569354390276589,0.8915108188175082,0.9587898506635733,0.9024120361695801,0.04229032747758765,2,0.8600101685320549,0.8839689338826886,0.953944765661893,0.8993079560255456,0.039852990976927,2,True
KNN,f1_macro,0.3343658447265625,0.01812226994160742,2.5882227420806885,0.026806348323009852,6,1,distance,"{'classifier__n_neighbors': 6, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.8546494131808606,0.8997893469756244,0.9581640331075997,0.9042009310880282,0.042374644072683536,3,0.8863769783450898,0.8923365393743501,0.958014339961377,0.912242619226939,0.0324568113668909,2,0.851065093785428,0.8894603346578062,0.9618272220193063,0.9007842168208468,0.04592192644882067,4,0.8543711136157655,0.8830000861357532,0.9585083470399355,0.8986265155971513,0.04392630054681788,3,True
KNN,f1_macro,0.327864408493042,0.0124126950681924,2.697739362716675,0.06041673912179253,2,1,uniform,"{'classifier__n_neighbors': 2, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8561540776406861,0.903250075233223,0.9503386004514672,0.9032475844417921,0.03845067046599379,4,0.885245546284956,0.8951036600648206,0.950703546302698,0.9103509175508249,0.028816043994206484,4,0.8530145352117822,0.8935175241903711,0.9584459937841474,0.9016593510621002,0.04342553106780234,3,0.8556304228174796,0.8864340977965127,0.9531408332075935,0.8984017846071953,0.040697986676747254,4,True
KNN,f1_macro,0.3298037052154541,0.007264578792272111,2.6622520287831626,0.04494985035698349,3,1,uniform,"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8590129401143545,0.8979837496238339,0.9504890895410083,0.9024952597597323,0.03748098870326671,5,0.8889218557419074,0.8883753677628359,0.9473662699066069,0.90822116447045,0.027680668609262233,5,0.8552530169991276,0.8879719772206945,0.9554078927388633,0.8995442956528952,0.0416988305114397,5,0.8584410955146397,0.8799179706619639,0.9500690244882145,0.8961426968882726,0.039126722733835204,5,True
KNN,f1_macro,0.3355581760406494,0.023803605619807867,2.7399404048919678,0.024709707915697755,6,1,uniform,"{'classifier__n_neighbors': 6, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8487812217875413,0.894974420704183,0.9477802859292701,0.8971786428069981,0.04044624104119307,6,0.8828988006743005,0.8884222532239389,0.9477767485981736,0.906365934165471,0.0293685636466594,7,0.8449170551294625,0.8837303668404667,0.9515450371320969,0.8933974863673421,0.044064131569404655,6,0.8478701752083363,0.877974700505178,0.9480458403762052,0.8912969053632399,0.04196746223497731,6,True
KNN,f1_macro,0.33100199699401855,0.01646344313917641,2.5682241916656494,0.03686657366860269,15,1,distance,"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.8424616310562745,0.894974420704183,0.944319036869827,0.8939183628767614,0.04158981624843454,7,0.8796646077058955,0.8958904510312784,0.9453436528815495,0.9069662372062411,0.02793371944850313,6,0.8426321075718758,0.88386872894142,0.9502625911950447,0.8922544759027802,0.04433825147141974,7,0.8408021383253812,0.8772422814659978,0.9435537564490203,0.8871993920801331,0.04253494089642172,7,True
KNN,f1_macro,0.33701380093892414,0.011282124370011005,0.44323094685872394,0.004673022154743085,2,2,distance,"{'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.8383990370147457,0.8915136924465844,0.9336343115124154,0.8878490136579152,0.038965897740885456,8,0.859879354914031,0.9073647407616341,0.9398054521220734,0.9023498492659128,0.032821812932486996,8,0.8331893859383078,0.8821605064089076,0.9458588820158907,0.8870695914543688,0.04612792482926725,8,0.8342831790549495,0.8748377946330819,0.9412113625055335,0.8834441120645217,0.04407539471412187,8,True
KNN,f1_macro,0.34285545349121094,0.01814730958393517,0.457253376642863,0.005072308176038435,3,2,distance,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.8377971712308155,0.886698766175143,0.927163280662152,0.8838864060227035,0.03653771937731996,10,0.8594783014196076,0.902716373223092,0.931577961325536,0.8979242119894119,0.02962897058178957,10,0.8317880253488403,0.8775050716117664,0.9396880817644279,0.8829937262416783,0.0442206553611664,9,0.8327820775629077,0.8700605450200285,0.934073708256637,0.8789721102798578,0.041829500026367844,9,True
KNN,f1_macro,0.3450918992360433,0.01933151062927342,0.4641722838083903,0.029627559232892776,6,2,distance,"{'classifier__n_neighbors': 6, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.8362925067709901,0.8851941017153175,0.9255079006772009,0.8823315030545028,0.03647823534456094,11,0.8604309414930662,0.8999507599006085,0.9317834493287479,0.8973883835741409,0.029185834725531788,11,0.8305593131674436,0.8762005245904235,0.9373895424790141,0.881383126745627,0.04376695098294316,11,0.8318432523533255,0.8687380575929542,0.9328724294009704,0.87781791311575,0.04174171762930725,10,True
KNN,f1_macro,0.34153056144714355,0.02263971266367622,2.6652021408081055,0.049384642511972845,15,1,uniform,"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.8376467047848329,0.8857959674992477,0.9319789315274642,0.8851405346038485,0.03851375896798511,9,0.8758635195348462,0.8865680712358273,0.9335341732920004,0.8986552546875579,0.025047302969132025,9,0.8374606632399296,0.8728895647263513,0.9371098789115435,0.8824867022926082,0.041243749692862146,10,0.8353221414544473,0.8671887592601515,0.9296890065132318,0.8773999690759435,0.03919590037816293,11,True
KNN,f1_macro,0.3739945888519287,0.045675937391411486,0.6226886113484701,0.01828688199341565,3,2,uniform,"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.835991573879025,0.8841408365934397,0.9208427389014296,0.8803250497912981,0.03474526560654832,12,0.8577289817191777,0.8992068635211358,0.9250935866635026,0.8940098106346053,0.027745924852192714,13,0.8300335105355866,0.8751570814200847,0.9334297567548862,0.8795401162368526,0.042324966459638236,12,0.8309635160337441,0.8672954644332516,0.9278028757007242,0.8753539520559066,0.03994304121496882,12,True
KNN,f1_macro,0.31916077931722003,0.010468665434880413,0.6386245091756185,0.07710046086994941,2,2,uniform,"{'classifier__n_neighbors': 2, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.8328317785133915,0.8841408365934397,0.9197893152746426,0.8789206434604914,0.0356916527323971,13,0.8559417262873137,0.9022038717415649,0.9268058192107453,0.8949838057465413,0.029377167224388864,12,0.8276423063032912,0.8748122475714004,0.933679180070042,0.8787112446482445,0.04337707753495613,13,0.8279624407311921,0.8679080098839418,0.9283277949868667,0.8747327485340003,0.041257192318010574,13,True
KNN,f1_macro,0.33291880289713544,0.01550579686720361,0.580799420674642,0.01098918608802874,6,2,uniform,"{'classifier__n_neighbors': 6, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.8317785133915137,0.8763165814023472,0.9140707298720843,0.8740552748886484,0.03363368701845366,15,0.8573541225875296,0.8914162035348183,0.9216168586161493,0.8901290615794991,0.02625093472978146,14,0.8253977869710869,0.8654787419937899,0.9254921378551872,0.8721228889400213,0.04113253607717121,15,0.826493413912551,0.8594546342832738,0.9214019936640161,0.8691166806199471,0.039344004051181374,14,True
KNN,f1_macro,0.3293169339497884,0.013213712796830068,0.45660217603047687,0.006885683857659758,15,2,distance,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.8298224495937406,0.8748119169425218,0.9182844243792325,0.8743062636384984,0.03611621989896094,14,0.859455947944824,0.8879312632158973,0.9224750677072694,0.8899540929559969,0.02576717865847211,15,0.8281064456418169,0.8653389251825,0.9286934986490223,0.8740462898244464,0.04152350705664162,14,0.8251410768803306,0.8588473277885522,0.922551729734887,0.8688467114679232,0.04039141474672705,15,True
KNN,f1_macro,0.319716215133667,0.010289717276951089,0.5674938360850016,0.003511590172660591,15,2,uniform,"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.8239542582004213,0.8665362624134818,0.9003762227238525,0.863622247779252,0.031267104933369656,16,0.8542902580003979,0.8817935234140037,0.9039570523378473,0.8800136112507496,0.02031540762444928,16,0.8218984968115779,0.8553174843101559,0.9098361961531896,0.8623507257583078,0.036243248615661035,16,0.8187649330391427,0.8502000059757796,0.9031442015349544,0.8573697135166256,0.034818757087122086,16,True
