Model,Accuracy,F1 Score
KNN with SpaceID and Scaling,0.7153961885656971,0.7159654861003685
KNN with SpaceID without Scaling,0.7334503510531595,0.7327432333010685
KNN without SpaceID,0.9904988123515439,0.9905303663835495
KNN initial split,0.8415841584158416,0.8428489784779114
