Total train samples: 39209
Total test samples: 12630
Batch size: 64
iteration every epoch: 612
Initial learning rate: 0.001
[2026-02-04_12:58:15] Epoch:1/20, iteration:100/612, lr: 0.001, loss: 0.05611234903335571, time: 0.9229142665863037
[2026-02-04_12:58:16] Epoch:1/20, iteration:200/612, lr: 0.001, loss: 0.037498608231544495, time: 0.5132107734680176
[2026-02-04_12:58:16] Epoch:1/20, iteration:300/612, lr: 0.001, loss: 0.027842741459608078, time: 0.49661755561828613
[2026-02-04_12:58:17] Epoch:1/20, iteration:400/612, lr: 0.001, loss: 0.03225238621234894, time: 0.5322329998016357
[2026-02-04_12:58:17] Epoch:1/20, iteration:500/612, lr: 0.001, loss: 0.024151410907506943, time: 0.5648171901702881
[2026-02-04_12:58:18] Epoch:1/20, iteration:600/612, lr: 0.001, loss: 0.015886669978499413, time: 0.5609850883483887
[2026-02-04_12:58:18] Epoch:2/20, iteration:87/612, lr: 0.001, loss: 0.017831893637776375, time: 0.691922664642334
[2026-02-04_12:58:19] Epoch:2/20, iteration:187/612, lr: 0.001, loss: 0.017916731536388397, time: 0.5226407051086426
[2026-02-04_12:58:20] Epoch:2/20, iteration:287/612, lr: 0.001, loss: 0.014636991545557976, time: 0.5074944496154785
[2026-02-04_12:58:20] Epoch:2/20, iteration:387/612, lr: 0.001, loss: 0.015375126153230667, time: 0.5381107330322266
[2026-02-04_12:58:21] Epoch:2/20, iteration:487/612, lr: 0.001, loss: 0.009258469566702843, time: 0.5622954368591309
[2026-02-04_12:58:21] Epoch:2/20, iteration:587/612, lr: 0.001, loss: 0.011686193756759167, time: 0.5082352161407471
[2026-02-04_12:58:22] Epoch:3/20, iteration:74/612, lr: 0.001, loss: 0.013738839887082577, time: 0.6840355396270752
[2026-02-04_12:58:22] Epoch:3/20, iteration:174/612, lr: 0.001, loss: 0.011135261505842209, time: 0.5293228626251221
